time,open,high,low,close,tick_volume,spread,real_volume
2023-10-27 01:00:00,0.63215,0.63284,0.63213,0.63257,1075,0,0
2023-10-27 02:00:00,0.63257,0.63351,0.63256,0.63335,3375,0,0
2023-10-27 03:00:00,0.63334,0.634,0.63293,0.63349,2923,0,0
2023-10-27 04:00:00,0.63348,0.63425,0.63245,0.63383,3632,0,0
2023-10-27 05:00:00,0.63384,0.6343,0.63366,0.63405,2909,0,0
2023-10-27 06:00:00,0.63406,0.63424,0.63361,0.63389,2225,0,0
2023-10-27 07:00:00,0.63387,0.6345,0.63367,0.63439,1547,0,0
2023-10-27 08:00:00,0.63439,0.63464,0.63379,0.63445,2762,0,0
2023-10-27 09:00:00,0.63447,0.63508,0.63354,0.63357,3361,0,0
2023-10-27 10:00:00,0.63357,0.6343,0.63309,0.63428,4108,0,0
2023-10-27 11:00:00,0.63428,0.63516,0.63418,0.63503,3210,0,0
2023-10-27 12:00:00,0.63503,0.63572,0.6349,0.63552,2892,0,0
2023-10-27 13:00:00,0.63553,0.63565,0.63464,0.63464,2614,0,0
2023-10-27 14:00:00,0.63458,0.63464,0.63364,0.63392,2987,0,0
2023-10-27 15:00:00,0.63393,0.63584,0.63381,0.63507,5609,0,0
2023-10-27 16:00:00,0.63506,0.63679,0.63503,0.63555,7027,0,0
2023-10-27 17:00:00,0.6352,0.63656,0.63454,0.63503,7314,0,0
2023-10-27 18:00:00,0.63501,0.63553,0.63477,0.63511,5289,0,0
2023-10-27 19:00:00,0.63513,0.63532,0.63394,0.63406,4034,0,0
2023-10-27 20:00:00,0.63403,0.6341,0.63337,0.63373,4664,0,0
2023-10-27 21:00:00,0.63372,0.63405,0.63343,0.63354,4936,0,0
2023-10-27 22:00:00,0.63354,0.63372,0.6331,0.63361,4944,0,0
2023-10-27 23:00:00,0.63362,0.63366,0.63293,0.63326,2343,0,0
2023-10-30 00:00:00,0.63343,0.63388,0.63308,0.63374,1080,13,0
2023-10-30 01:00:00,0.63374,0.63441,0.63349,0.63379,1867,0,0
2023-10-30 02:00:00,0.6338,0.63396,0.63324,0.63386,2120,0,0
2023-10-30 03:00:00,0.63385,0.63488,0.63367,0.63454,2884,0,0
2023-10-30 04:00:00,0.63451,0.63549,0.63435,0.63537,3519,0,0
2023-10-30 05:00:00,0.63538,0.63578,0.63508,0.63556,3034,0,0
2023-10-30 06:00:00,0.63558,0.636,0.63536,0.63548,2527,0,0
2023-10-30 07:00:00,0.63549,0.63552,0.63491,0.63532,2008,0,0
2023-10-30 08:00:00,0.63533,0.63541,0.63488,0.63505,2781,0,0
2023-10-30 09:00:00,0.63504,0.63599,0.63495,0.63585,2561,0,0
2023-10-30 10:00:00,0.63586,0.63646,0.63549,0.63559,3294,0,0
2023-10-30 11:00:00,0.63554,0.63592,0.63517,0.63573,3766,0,0
2023-10-30 12:00:00,0.63572,0.63707,0.63572,0.63693,3108,0,0
2023-10-30 13:00:00,0.63693,0.63727,0.63652,0.63694,2866,0,0
2023-10-30 14:00:00,0.63696,0.63786,0.63672,0.63751,3517,0,0
2023-10-30 15:00:00,0.6375,0.6375,0.63668,0.63736,4034,0,0
2023-10-30 16:00:00,0.63738,0.63788,0.637,0.63762,5105,0,0
2023-10-30 17:00:00,0.63761,0.63817,0.63613,0.6373,6659,0,0
2023-10-30 18:00:00,0.6373,0.63838,0.63724,0.63728,4754,0,0
2023-10-30 19:00:00,0.63728,0.63756,0.63662,0.63688,4343,0,0
2023-10-30 20:00:00,0.63688,0.63751,0.63649,0.63745,3122,0,0
2023-10-30 21:00:00,0.63746,0.63786,0.63734,0.63753,2966,0,0
2023-10-30 22:00:00,0.63754,0.63785,0.63733,0.63762,3507,0,0
2023-10-30 23:00:00,0.63761,0.63773,0.63722,0.63722,1335,0,0
2023-10-31 00:00:00,0.63665,0.63749,0.63654,0.63698,1484,8,0
2023-10-31 01:00:00,0.63698,0.6374,0.63649,0.63652,882,0,0
2023-10-31 02:00:00,0.63652,0.637,0.63652,0.63679,1281,0,0
2023-10-31 03:00:00,0.63679,0.63735,0.63645,0.6368,2368,0,0
2023-10-31 04:00:00,0.63682,0.63735,0.63586,0.63643,3890,0,0
2023-10-31 05:00:00,0.63642,0.6367,0.63549,0.63569,3106,0,0
2023-10-31 06:00:00,0.63569,0.63585,0.63443,0.63486,3912,0,0
2023-10-31 07:00:00,0.63483,0.63517,0.63412,0.63447,2318,0,0
2023-10-31 08:00:00,0.63445,0.63498,0.63429,0.63476,2420,0,0
2023-10-31 09:00:00,0.63477,0.63569,0.63459,0.63529,3427,0,0
2023-10-31 10:00:00,0.6353,0.63649,0.6353,0.63589,3349,0,0
2023-10-31 11:00:00,0.63591,0.63728,0.63523,0.63727,4245,0,0
2023-10-31 12:00:00,0.63728,0.63739,0.63668,0.63696,3849,0,0
2023-10-31 13:00:00,0.63698,0.63701,0.63638,0.63678,3285,0,0
2023-10-31 14:00:00,0.63677,0.63698,0.63638,0.6364,2440,0,0
2023-10-31 15:00:00,0.6364,0.63684,0.63456,0.63458,4936,0,0
2023-10-31 16:00:00,0.63455,0.63469,0.63314,0.63367,5772,0,0
